inchikey,kegg_id,kegg_drug_id
InChIKey=HEBKCHPVOIAQTA-SCDXWVJYSA-N,C00379,
InChIKey=OPTASPLRGRRNAP-UHFFFAOYSA-N,C00380,
InChIKey=KLGBTYNAYAZPFD-QOLULZROSA-N,C00381,
InChIKey=OFOBLEOULBTSOW-UHFFFAOYSA-N,C04025,
InChIKey=LRFVTYWOQMYALW-UHFFFAOYSA-N,C00385,
InChIKey=CQOVPNPJLQNMDC-ZETCQYMHSA-N,C00386,
InChIKey=NYHBQMYGNKIUIF-UUOKFMHZSA-N,C00387,
InChIKey=NTYJJOPFIAHURM-UHFFFAOYSA-N,C00388,D08040
InChIKey=REFJWTPEDVJJIY-UHFFFAOYSA-N,C00389,
InChIKey=RNUCUWWMTTWKAH-JLHYYAGUSA-N,C00390,
InChIKey=FBPFZTCFMRRESA-KVTDHHQDSA-N,C00392,D00062
InChIKey=MVMSCBBUIHUTGJ-IKVBDKFJSA-N,C00394,
InChIKey=CZPWVGJYEJSRLH-UHFFFAOYSA-N,C00396,
InChIKey=NLVFBUXFDBBNBW-PBSUHMDJSA-N,C00397,D00063
InChIKey=APJYDQYYACXCRM-UHFFFAOYSA-N,C00398,
InChIKey=SQQWBSBBCSFQGC-JLHYYAGUSA-N,C00399,
InChIKey=NOOLISFMXDJSKH-KXUCPTDWSA-N,C00400,D00064
InChIKey=CKLJMWTZIZZHCS-UWTATZPHSA-N,C00402,
InChIKey=UNXRWKVEANCORM-UHFFFAOYSA-N,C02174,
InChIKey=GBXZVJQQDAJGSO-NBXNMEGSSA-N,C00406,
InChIKey=AGPKZVBTJJNPAG-WHFBIAKZSA-N,C00407,D00065
InChIKey=HXEACLLIILLPRG-YFKPBYRVSA-N,C00408,
InChIKey=LSDPWZHWYPCBBB-UHFFFAOYSA-N,C00409,
InChIKey=RJKFOVLPORLFTN-LEKSSAKUSA-N,C00410,D00066
InChIKey=RBFUWESMWRUGFY-GSNIOFLCSA-N,C00411,
InChIKey=SIARJEKBADXQJG-LFZQUHGESA-N,C00412,
InChIKey=UCSJYZPVAKXKNQ-HZYVHMACSA-N,C00413,D08531
InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N,C00414,
InChIKey=OZRNSSUDZOLUSN-LBPRGKRZSA-N,C00415,
InChIKey=GTZCVFVGUGFEME-IWQZZHSRSA-N,C00417,
InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-N,C00418,
InChIKey=FYGDTMLNYKFZSV-UHFFFAOYSA-N,C00420,
InChIKey=WBYWAXJHAXSJNI-VOTSOKGWSA-N,C10438,
InChIKey=BSABBBMNWQWLLU-VKHMYHEASA-N,C00424,
InChIKey=YIBNHAJFJUQSRA-YNNPMVKQSA-N,C00427,
InChIKey=OIVLITBTBDPEFK-UHFFFAOYSA-N,C00429,
InChIKey=ZGXJTSGNIOSYLO-UHFFFAOYSA-N,C00430,D07567
InChIKey=JJMDCOVWQOJGCB-UHFFFAOYSA-N,C00431,
InChIKey=VHKNBDIQDAXGBL-UHFFFAOYSA-N,C00433,
InChIKey=YANFYYGANIYHGI-UHFFFAOYSA-N,C00436,
InChIKey=JRLGPAXAGHMNOL-LURJTMIESA-N,C00437,
InChIKey=HLKXYZVTANABHZ-REOHCLBHSA-N,C00438,
InChIKey=NRXIKWMTVXPVEF-BYPYZUCNSA-N,C00439,
InChIKey=ZNOVTXRBGFNYRX-ABLWVSNPSA-N,C00440,
InChIKey=HOSWPDPVFBCLSY-VKHMYHEASA-N,C00441,
InChIKey=MEANFMOQMXYMCT-ABLWVSNPSA-O,C00445,
InChIKey=HXXFSFRBOHSIMQ-FPRJBGLDSA-N,C00446,
InChIKey=OKHXOUGRECCASI-SHUUEZRQSA-N,C00447,
InChIKey=VWFJDQUYCIWHTN-YFVJMOTDSA-N,C00448,
InChIKey=ZDGJAHTZVHVLOT-YUMQZZPRSA-N,C00449,
InChIKey=CSDPVAKVEWETFG-YFKPBYRVSA-N,C00450,
InChIKey=ODBLHEXUDAPZAU-ZAFYKAAXSA-N,C00451,
InChIKey=DAYLJWODMCOQEW-TURQNECASA-N,C00455,
InChIKey=RGWHQCVHVJXOKC-SHYZEUOFSA-N,C00458,
InChIKey=NHVNXKFIZYSCEB-XLPZGREQSA-N,C00459,
InChIKey=AHCYMLUZIRLXAA-SHYZEUOFSA-N,C00460,
InChIKey=SIKJAQJRHWYJAI-UHFFFAOYSA-N,C00463,
InChIKey=ROWKJAVDOGWPAT-UHFFFAOYSA-N,C00466,
InChIKey=DNXHEGUUPJUMQT-CBZIJGRNSA-N,C00468,D00067
InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N,C00469,D00068
