het_id,inchikey
0BB,InChIKey=WYBNXPWKJQJMLG-UHFFFAOYSA-N
0BD,InChIKey=RCXNRCWFTSDLDY-RDEKNSNJSA-N
0BI,InChIKey=GCZHKZTYTMTFGU-JHOUSYSJSA-N
0BM,InChIKey=UCVAQBJLJIKTFJ-MOPGFXCFSA-N
0BN,InChIKey=XPRCPVGCTGELMN-QMMMGPOBSA-N
0BR,InChIKey=LJOQGZACKSYWCH-FOEVPDMQSA-N
0BU,InChIKey=JMONOAYAUIIKMS-UHFFFAOYSA-N
0BW,InChIKey=ZPLBXOVTSNRBFB-UHFFFAOYSA-N
0BX,InChIKey=BUKMSYYNNHEANR-UHFFFAOYSA-N
0BY,InChIKey=BAZFHAGOCKJYHX-UHFFFAOYSA-N
0BZ,InChIKey=DSRXYFSONVBAKS-UHFFFAOYSA-N
0C,InChIKey=IERHLVCPSMICTF-PSQAKQOGSA-N
0C0,InChIKey=RSUKUXYTJJCQKG-UHFFFAOYSA-N
0C1,InChIKey=GPKCKCQUVBOYCV-UHFFFAOYSA-N
0C2,InChIKey=LVGCEDOTDJKOGS-CYBMUJFWSA-N
0C3,InChIKey=QFNWNXOHCUAEBM-UHFFFAOYSA-N
0C4,InChIKey=NCXZWZMYZVWHNN-UHFFFAOYSA-N
0C5,InChIKey=MEKVNSMGVQRYJI-UHFFFAOYSA-N
0C6,InChIKey=BLFRZPJRKJLHGU-UHFFFAOYSA-N
0C7,InChIKey=GADYBZMYJCZJLX-UHFFFAOYSA-N
0C8,InChIKey=VKIURNGMKFWIQX-UHFFFAOYSA-N
0C9,InChIKey=UIAQHDUGAOFVJM-UHFFFAOYSA-N
0CE,InChIKey=JPKZOLAMWIKKME-QHCPKHFHSA-N
0CG,InChIKey=CEUAGVILADDFJF-UHFFFAOYSA-N
0CH,InChIKey=OLLDOFHGCGXIPA-UHFFFAOYSA-N
0CJ,InChIKey=KREMOGYKSOVBKI-UHFFFAOYSA-N
0CK,InChIKey=WUDBUIUHVNECTM-UHFFFAOYSA-N
0CL,InChIKey=YHRUOJUYPBUZOS-UHFFFAOYSA-N
0CM,InChIKey=MMKJTWNLJFDOFE-UHFFFAOYSA-N
0CN,InChIKey=SBJIRHJBHHXSDO-UHFFFAOYSA-N
0CO,InChIKey=QFEREDUWILIRPI-FOPXFMLJSA-N
0CP,InChIKey=LITNEAPWQHVPOK-FFSVYQOJSA-N
0CR,InChIKey=SAIYTGCUDKIERP-UHFFFAOYSA-N
0CS,InChIKey=XWVCSZNIYHRFRC-HWEYBBGXSA-N
0CT,InChIKey=QRUDEWIWKLJBPS-UHFFFAOYSA-N
0CU,InChIKey=JIEIAVACOCLACU-UHFFFAOYSA-N
0CV,InChIKey=LRBQTFPUUPFJQW-UHFFFAOYSA-N
0CX,InChIKey=DIHUILSVOGYVDG-MRAVEKNJSA-N
0CZ,InChIKey=ZFVMWEVVKGLCIJ-UHFFFAOYSA-N
0D1,InChIKey=OWEYKIWAZBBXJK-UHFFFAOYSA-N
